course,file,ext,w,h,ratio,verdict,note
ASTR125_-_Stanford_University,28_lecture10.pdf,.pdf,792,612,1.2941,slide,
ASTR125_-_Stanford_University,29_lecture10_annotated.pdf,.pdf,1640,1229,1.3344,slide,
ASTR125_-_Stanford_University,2_lecture01.pdf,.pdf,792,612,1.2941,slide,
ASTR125_-_Stanford_University,30_lecture11.pdf,.pdf,600,450,1.3333,slide,
ASTR125_-_Stanford_University,31_lecture11.pdf,.pdf,792,612,1.2941,slide,
ASTR125_-_Stanford_University,32_lecture11_annotated.pdf,.pdf,1640,1229,1.3344,slide,
ASTR125_-_Stanford_University,33_lecture12.pdf,.pdf,792,612,1.2941,slide,
ASTR125_-_Stanford_University,34_lecture12_annotated.pdf,.pdf,1640,1229,1.3344,slide,
ASTR125_-_Stanford_University,35_reactives.pdf,.pdf,612,792,0.7727,document,
ASTR125_-_Stanford_University,36_lecture13.pdf,.pdf,792,612,1.2941,slide,
ASTR125_-_Stanford_University,37_lecture13_annotated.pdf,.pdf,1366,1024,1.334,slide,
ASTR125_-_Stanford_University,38_transient.pdf,.pdf,612,792,0.7727,document,
ASTR125_-_Stanford_University,39_lecture14.pdf,.pdf,792,612,1.2941,slide,
ASTR125_-_Stanford_University,3_lecture01_annotated.pdf,.pdf,1640,1229,1.3344,slide,
ASTR125_-_Stanford_University,40_lecture14_annotated.pdf,.pdf,1366,1024,1.334,slide,
ASTR125_-_Stanford_University,41_lecture15.pdf,.pdf,792,612,1.2941,slide,
ASTR125_-_Stanford_University,42_lecture15_annotated.pdf,.pdf,1640,1229,1.3344,slide,
ASTR125_-_Stanford_University,43_signals.pdf,.pdf,612,792,0.7727,document,
ASTR125_-_Stanford_University,44_impedance.pdf,.pdf,612,792,0.7727,document,
ASTR125_-_Stanford_University,45_lecture16.pdf,.pdf,792,612,1.2941,slide,
ASTR125_-_Stanford_University,46_bodeplots.pdf,.pdf,612,792,0.7727,document,
ASTR125_-_Stanford_University,47_opamps.pdf,.pdf,612,792,0.7727,document,
ASTR125_-_Stanford_University,48_opampfilters.pdf,.pdf,612,792,0.7727,document,
ASTR125_-_Stanford_University,49_lecture20.pdf,.pdf,600,450,1.3333,slide,
ASTR125_-_Stanford_University,4_lecture02.pdf,.pdf,640,480,1.3333,slide,
ASTR125_-_Stanford_University,50_lecture21.pdf,.pdf,600,450,1.3333,slide,
ASTR125_-_Stanford_University,51_lecture22.pdf,.pdf,600,450,1.3333,slide,
ASTR125_-_Stanford_University,52_arduino.pdf,.pdf,612,792,0.7727,document,
ASTR125_-_Stanford_University,53_computer-history.pdf,.pdf,720,540,1.3333,slide,
ASTR125_-_Stanford_University,54_cubemapping.pdf,.pdf,960,540,1.7778,slide,
ASTR125_-_Stanford_University,55_fsm-example.pdf,.pdf,363,273,1.3297,slide,
ASTR125_-_Stanford_University,56_fsm-example.pdf,.pdf,363,273,1.3297,slide,
ASTR125_-_Stanford_University,57_keyboard_breakingbreak.pdf,.pdf,612,792,0.7727,document,
ASTR125_-_Stanford_University,58_lablecture1.pdf,.pdf,720,540,1.3333,slide,
ASTR125_-_Stanford_University,59_lablecture1_annotated.pdf,.pdf,1640,1229,1.3344,slide,
ASTR125_-_Stanford_University,5_lecture02.pdf,.pdf,792,612,1.2941,slide,
ASTR125_-_Stanford_University,60_lablecture2.pdf,.pdf,720,540,1.3333,slide,
ASTR125_-_Stanford_University,61_lablecture2_annotated.pdf,.pdf,1640,1229,1.3344,slide,
ASTR125_-_Stanford_University,62_lablecture3a.pdf,.pdf,720,540,1.3333,slide,
ASTR125_-_Stanford_University,63_lablecture3a_annotated.pdf,.pdf,1640,1229,1.3344,slide,
ASTR125_-_Stanford_University,64_lablecture3b.pdf,.pdf,720,540,1.3333,slide,
ASTR125_-_Stanford_University,65_lablecture3b_annotated.pdf,.pdf,1366,1024,1.334,slide,
ASTR125_-_Stanford_University,66_lablecture3c.pdf,.pdf,720,540,1.3333,slide,
ASTR125_-_Stanford_University,67_lablecture3c_annotated.pdf,.pdf,1640,1229,1.3344,slide,
ASTR125_-_Stanford_University,68_signals-slides.pdf,.pdf,454,256,1.7734,slide,
ASTR125_-_Stanford_University,6_lecture02_annotated.pdf,.pdf,1640,1229,1.3344,slide,
ASTR125_-_Stanford_University,7_lecture03.pdf,.pdf,640,480,1.3333,slide,
ASTR125_-_Stanford_University,8_lecture03.pdf,.pdf,792,612,1.2941,slide,
ASTR125_-_Stanford_University,9_lecture03_annotated.pdf,.pdf,1640,1229,1.3344,slide,
ASTRO1000_-_Ohio_University,10_Week4_IntroTo_Cosmology.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,11_Week4_IntroTo_Inflation.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,12_Week4_IntroTo_TheBigBang.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,13_Week5_IntroTo_MilkyWayFormation.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,14_Week5_IntroTo_MilkyWayStructure.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,15_Week6_IntroTo_GalacticDistances.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,16_Week6_IntroTo_GalaxyTaxonomy.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,17_Week7_IntroTo_GalaxiesAndDarkMatter.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,18_Week7_IntroTo_GalaxyEvolution.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,19_Week7_IntroTo_GalaxyMergers.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,1_Week1_IntroTo_ASTR1000.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,20_Week8_IntroTo_StellarEnergyTransport.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,21_Week8_IntroTo_StellarEquilibrium.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,22_Week8_IntroTo_StellarNuclearPower.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,23_Week9_IntroTo_Starlight.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,24_Week9_IntroTo_StellarSpectra.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,25_Week9_IntroTo_TheHRDiagram.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,26_Week10_IntroTo_HighMassStellarEvolution.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,27_Week10_IntroTo_LowMassStellarEvolution.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,28_Week10_IntroTo_StellarRemnants.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,29_Week11_IntroTo_Exoplanets.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,2_Week1_IntroTo_Astronomy.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,30_Week11_IntroTo_PlanetFormation.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,31_Week11_IntroTo_StarFormation.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,32_Week12_IntroTo_TheJovianPlanets.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,33_Week12_IntroTo_TheSolarSystem.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,34_Week12_IntroTo_TheTerrestrialPlanets.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,35_Week13_IntroTo_SolarSystemDating.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,36_Week13_IntroTo_SolarSystemOrigins.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,37_Week14_IntroTo_Habitability.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,38_Week14_IntroTo_SolarSystemLife.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,39_Week14_IntroTo_TheDrakeEquation.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,3_Week1_IntroTo_MathFundamentals.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,4_Week2_IntroTo_Light.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,5_Week2_IntroTo_Redshift.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,6_Week2_IntroTo_Spectra.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,7_Week3_IntroTo_GroundBasedTelescopes.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,8_Week3_IntroTo_SpaceBasedTelescopes.pdf,.pdf,960,540,1.7778,slide,
ASTRO1000_-_Ohio_University,9_Week3_IntroTo_TelescopeOptics.pdf,.pdf,960,540,1.7778,slide,
AY101_-_University_of_Alabama,10_lecture5_012226.ppt,.ppt,960,720,1.3333,slide,
AY101_-_University_of_Alabama,11_lecture6_012726.pdf,.pdf,792,612,1.2941,slide,
AY101_-_University_of_Alabama,12_lecture6_012726.ppt,.ppt,960,720,1.3333,slide,
AY101_-_University_of_Alabama,13_lecture7_012926.pdf,.pdf,792,612,1.2941,slide,
AY101_-_University_of_Alabama,14_lecture7_012926.ppt,.ppt,960,720,1.3333,slide,
AY101_-_University_of_Alabama,15_lecture8_020326.pdf,.pdf,792,612,1.2941,slide,
AY101_-_University_of_Alabama,16_lecture8_020326.ppt,.ppt,960,720,1.3333,slide,
AY101_-_University_of_Alabama,17_lecture9_021026.pdf,.pdf,792,612,1.2941,slide,
AY101_-_University_of_Alabama,18_lecture9_021026.ppt,.ppt,960,720,1.3333,slide,
AY101_-_University_of_Alabama,19_lecture10_021226.pdf,.pdf,792,612,1.2941,slide,
AY101_-_University_of_Alabama,1_lecture1_010826.pdf,.pdf,792,612,1.2941,slide,
AY101_-_University_of_Alabama,20_lecture10_021226.ppt,.ppt,960,720,1.3333,slide,
AY101_-_University_of_Alabama,21_lecture11_021726.pdf,.pdf,792,612,1.2941,slide,
AY101_-_University_of_Alabama,22_lecture11_021726.ppt,.ppt,960,720,1.3333,slide,
AY101_-_University_of_Alabama,23_lecture12_021926.pdf,.pdf,792,612,1.2941,slide,
AY101_-_University_of_Alabama,24_lecture12_021926.ppt,.ppt,960,720,1.3333,slide,
AY101_-_University_of_Alabama,25_lecture13_022426.pdf,.pdf,792,612,1.2941,slide,
AY101_-_University_of_Alabama,26_lecture13_022426.ppt,.ppt,960,720,1.3333,slide,
AY101_-_University_of_Alabama,27_lecture14_022626.pdf,.pdf,792,612,1.2941,slide,
AY101_-_University_of_Alabama,28_lecture14_022626.ppt,.ppt,960,720,1.3333,slide,
AY101_-_University_of_Alabama,29_lecture15_030526.pdf,.pdf,792,612,1.2941,slide,
AY101_-_University_of_Alabama,2_lecture1_010826.ppt,.ppt,960,720,1.3333,slide,
AY101_-_University_of_Alabama,31_lecture16_031026.pdf,.pdf,792,612,1.2941,slide,
AY101_-_University_of_Alabama,33_lecture17_031226.pdf,.pdf,792,612,1.2941,slide,
AY101_-_University_of_Alabama,35_lecture18_032426.pdf,.pdf,792,612,1.2941,slide,
AY101_-_University_of_Alabama,37_lecture19_032626.pdf,.pdf,792,612,1.2941,slide,
AY101_-_University_of_Alabama,39_lecture20_033126.pdf,.pdf,792,612,1.2941,slide,
AY101_-_University_of_Alabama,3_lecture2_011326.pdf,.pdf,792,612,1.2941,slide,
AY101_-_University_of_Alabama,41_lecture21_040726.pdf,.pdf,792,612,1.2941,slide,
AY101_-_University_of_Alabama,42_lecture21_040726.ppt,.ppt,960,720,1.3333,slide,
AY101_-_University_of_Alabama,43_lecture22_040926.pdf,.pdf,792,612,1.2941,slide,
