folder,course_college,course_code,college_name,course_date,within3,instructor,rmp_matched_name,rmp_status,rmp_profile_url,rmp_course_num_ratings,rmp_course_avg_quality,rmp_course_avg_difficulty,rmp_course_would_take_again_pct,rmp_prof_avg_rating_overall,rmp_prof_avg_difficulty_overall,rmp_prof_num_ratings_overall,rmp_num_reviews_in_file
30,CS15112 - Carnegie Mellon University,CS15112,Carnegie Mellon University,2023,18,Mike Taylor & Pat Virtue,Michael Taylor,found,https://www.ratemyprofessors.com/professor/2412546,18,4.39,3.44,83.3,4.8,3.3,16,18
31,CX4220 - Georgia Institute of Technology,CX4220,Georgia Institute of Technology,2023,4,Helen Xu,Helen Xu,found,https://www.ratemyprofessors.com/professor/2996698,4,3.0,4.75,50.0,1.9,4.5,11,4
32,CS104 - University of Southern California,CS104,University of Southern California,2022,72,Mark Redekopp & Aaron Cote,Mark Redekopp,found,https://www.ratemyprofessors.com/professor/860888,104,4.5,3.89,77.9,4.4,3.3,368,104
33,CS4450 - Cornell University,CS4450,Cornell University,2022,16,Rachit Agarwal,Rachit Agarwal,found,https://www.ratemyprofessors.com/professor/2209130,18,2.94,3.33,50.0,2.9,3.6,33,18
34,CSC241 - DePaul University,CSC241,DePaul University,2022,4,Luka Perkovic,Ljubomir Perkovic,found,https://www.ratemyprofessors.com/professor/507566,9,4.22,3.0,33.3,4.0,3.7,75,9
35,COMP251 - McGill University,COMP251,McGill University,2022,9,Giulia Alberini & Jérôme Waldispühl,Giulia Alberini,found,https://www.ratemyprofessors.com/professor/2233884,9,2.89,3.78,44.4,3.6,3.8,251,9
36,CS6375 - University of Texas at Dallas,CS6375,University of Texas at Dallas,2022,12,Nicholas Ruozzi,Nicholas Ruozzi,found,https://www.ratemyprofessors.com/professor/2058874,18,4.17,4.67,55.6,3.6,4.8,32,18
37,CSCIE109B - Harvard University,CSCIE109B,Harvard University,2022,17,Pavlos Protopapas & Mark Glickman,Pavlos Protopapas,found,https://www.ratemyprofessors.com/professor/2180585,19,3.74,3.05,68.4,3.8,3.1,24,19
38,CALC2202 - Kennesaw State University,CALC2202,Kennesaw State University,2021,5,Charles Kang,Charles Kang,found,https://www.ratemyprofessors.com/professor/2404580,9,3.89,2.89,77.8,4.0,3.2,87,9
39,"CMPSC16 - University of California, Santa Barbara",CMPSC16,"University of California, Santa Barbara",2021,12,Pierre Conrad,Phill Conrad,found,https://www.ratemyprofessors.com/professor/1146063,14,3.57,1.86,71.4,4.5,2.0,78,14
40,CS4320 - Cornell University,CS4320,Cornell University,2021,14,Immanuel Trummer,Immanuel Trummer,found,https://www.ratemyprofessors.com/professor/2260768,15,3.2,2.8,53.3,3.3,3.2,20,15
41,"CSC134 - California State University, Sacramento",CSC134,"California State University, Sacramento",2021,32,Ying Jin,Ying Jin,found,https://www.ratemyprofessors.com/professor/857674,47,3.57,2.87,53.2,3.6,2.7,63,47
42,CSI1430 - Baylor University,CSI1430,Baylor University,2021,4,William Booth,Bill Booth,found,https://www.ratemyprofessors.com/professor/85439,12,3.42,3.17,25.0,3.6,3.2,20,12
43,MIS3690 - Babson College,OIM3690,Babson College,2021,6,Zhi Li,ZHI LI,found,https://www.ratemyprofessors.com/professor/2471693,6,3.83,4.0,66.7,4.2,3.6,9,6
44,CMPSC311 - Penn State University,CMPSC311,Penn State University,2021,39,Patrick McDaniel,Patrick McDaniel,found,https://www.ratemyprofessors.com/professor/958723,57,3.68,3.68,45.6,3.6,3.7,67,57
45,CAP4053 - University of Florida,CAP4053,University of Florida,2020,8,jeremiah blanchard,Jeremiah Blanchard,found,https://www.ratemyprofessors.com/professor/2273667,8,4.25,3.62,87.5,4.0,3.8,95,8
46,CH1020 - Worcester Polytechnic Institute,CH1020,Worcester Polytechnic Institute,2020,55,Uma Kumar & Bruce Bursten & George Kaminski & Drew Brodeur & Elizabeth Bafaro,Uma Kumar,found,https://www.ratemyprofessors.com/professor/119896,91,3.57,3.59,50.5,3.9,2.9,77,91
47,CIS3550 - Baruch College,CIS3550,Baruch College,2020,5,Michael Whiteman,Michael Whiteman,found,https://www.ratemyprofessors.com/professor/2586055,5,5.0,3.0,100.0,5.0,3.0,6,5
48,CISC3130 - Brooklyn College,CISC3130,Brooklyn College,2020,11,Katherine Chuang,Katherine Chuang,found,https://www.ratemyprofessors.com/professor/2498806,12,2.17,3.0,33.3,2.4,3.4,59,12
49,EK307 - Boston University,EK307,Boston University,2020,4,Mark Horenstein,Mark Horenstein,found,https://www.ratemyprofessors.com/professor/203943,13,4.08,3.46,15.4,4.2,3.3,20,13
50,CS1331 - Georgia Institute of Technology,CS1331,Georgia Institute of Technology,2019,40,Christopher Simpkins,Christopher Simpkins,found,https://www.ratemyprofessors.com/professor/1842796,47,3.83,2.85,57.4,3.7,2.7,65,47
51,CS200 - University of Wisconsin-Madison,CS200,University of Wisconsin-Madison,2019,6,Sam Vinitsky,Sam Vinitsky,found,https://www.ratemyprofessors.com/professor/2490449,6,4.67,4.17,100.0,4.7,4.2,6,6
52,CSE307 - Stony Brook University,CSE307,Stony Brook University,2019,44,Paul Fodor,Paul Fodor,found,https://www.ratemyprofessors.com/professor/1614881,48,4.9,3.17,89.6,4.8,2.9,339,48
53,COMP411 - University of North Carolina at Chapel Hill,COMP411,University of North Carolina at Chapel Hill,2018,8,Donald Porter,Donald Porter,found,https://www.ratemyprofessors.com/professor/2219845,8,3.0,3.62,37.5,3.8,4.2,27,8
