course_college	course_code	num_ratings	link
CS200 - University of Wisconsin-Madison	CS200	33	https://pages.cs.wisc.edu/~vinitskys/cs200_files/lectures/1_Welcome_to_CS200.pdf
CS680 - University of Waterloo	CS680	6	https://cs.uwaterloo.ca/~ppoupart/teaching/cs480-fall20/
CAP4053 - University of Florida	CAP4053	8	https://github.com/maxkrieger2000/cap4053-student-materials/tree/main/Lecture%20Slides
CH1020 - Worcester Polytechnic Institute	CH1020	54	https://github.com/Mcdonoughd/CH1020/tree/master/Class%20Slides/Lecture%20Slides
CS1340 - Southern Methodist University	CS1340	9	https://smu-cs1340.github.io/cs1340-f2020/syllabus/syllabus/
EK307 - Boston University	EK307	40	https://sites.bu.edu/engcourses/ek307/
CALC2202 - Kennesaw State University	CALC2202	12	https://facultyweb.kennesaw.edu/ykang4/math2202.php
CMPT320 - Simon Fraser University	CMPT320	22	https://coursys.sfu.ca/2022sp-cmpt-320-d1/pages/
CMPT354 - Simon Fraser University	CMPT354	55	https://sfu-db.github.io/cmpt354/
CS104 - University of Southern California	CS104	30	https://ee.usc.edu/~redekopp/cs104/slides/L01_Overview.pdf
CS6810 - University of Utah	CS6810	7	https://users.cs.utah.edu/~rajeev/cs6810/
ECE471 - University of Maine	ECE471	4	https://web.eece.maine.edu/~vweaver/classes/ece471_2022f/
COSC1306 - University of Houston	COSC1306	24	https://www2.cs.uh.edu/~acl/cs1336/Resource/index.html
CX4220 - Georgia Institute of Technology	CX4220	4	https://sites.gatech.edu/cse6220fall24/
CS3853 - University of Texas at San Antonio	CS3853	19	https://wwang.github.io/teaching/slides/Comp_Arch/Midterm1_PreparationU.pdf
CS537 - University of Wisconsin-Madison	CS537	22	https://pages.cs.wisc.edu/~oliphant/cs537-sp24/
CSCI4430 - Rensselaer Polytechnic Institute	CSCI4430	20	https://www.cs.rpi.edu/academics/courses/fall24/csci4430/
CSCI567 - University of Southern California	CSCI567	22	https://usc-tamagotchi.github.io/csci-567/24f/slides/lec10%20f24.pdf
DSCI553 - University of Southern California	DSCI553	50	https://github.com/HaoyueXU99/USC-DSCI-553-Fall23/tree/main/Slides
CAP5510 - University of Florida	CAP5510	12	https://www.cise.ufl.edu/~tamer/teaching/fall2025/lectures/01-CAP5510.pptx
CIS2166 - Temple University	CIS2166	37	https://cis-linux1.temple.edu/~latecki/Courses/CIS2166-Spring25/
