memory_feature,target,r,p_raw,n,q_bh,sig_bh
pmsum_self_containment,ccr_student_satisfaction,-0.2273,0.0861,58,0.2583,False
pmsum_self_containment,ccr_challenge_level,0.0764,0.5688,58,0.7554,False
pmsum_self_containment,ccr_time_investment,0.1172,0.3808,58,0.5932,False
pmsum_self_containment,ccr_recommendation_rate,0.0128,0.924,58,0.9646,False
pmsum_self_containment,ccr_grade_accessibility,-0.2798,0.0334,58,0.1934,False
pmsum_self_containment,rmp_avg_rating,-0.0157,0.907,58,0.9646,False
pmsum_self_containment,rmp_avg_difficulty,0.0254,0.8498,58,0.9646,False
pmsum_self_containment,rmp_would_take_again,0.0124,0.9311,51,0.9646,False
pmsum_visual_grounding,ccr_star_rating,-0.3629,0.0051,58,0.0653,False
pmsum_visual_grounding,ccr_student_satisfaction,-0.3581,0.0058,58,0.0653,False
pmsum_visual_grounding,ccr_challenge_level,0.349,0.0073,58,0.0653,False
pmsum_visual_grounding,ccr_time_investment,0.3631,0.0051,58,0.0653,False
pmsum_visual_grounding,ccr_recommendation_rate,-0.1893,0.1547,58,0.3213,False
pmsum_visual_grounding,ccr_grade_accessibility,-0.352,0.0067,58,0.0653,False
pmsum_visual_grounding,rmp_avg_rating,-0.0521,0.6977,58,0.8695,False
pmsum_visual_grounding,rmp_avg_difficulty,0.2039,0.1248,58,0.2943,False
pmsum_visual_grounding,rmp_would_take_again,-0.0064,0.9646,51,0.9646,False
pm_gain,ccr_star_rating,-0.2357,0.0748,58,0.4226,False
pm_gain,ccr_student_satisfaction,-0.2313,0.0806,58,0.4226,False
pm_gain,ccr_challenge_level,0.1775,0.1826,58,0.5666,False
pm_gain,ccr_time_investment,0.1545,0.247,58,0.6323,False
pm_gain,ccr_recommendation_rate,0.0534,0.6907,58,0.938,False
pm_gain,ccr_grade_accessibility,-0.1021,0.4456,58,0.8532,False
pm_gain,rmp_avg_rating,-0.112,0.4027,58,0.8054,False
pm_gain,rmp_avg_difficulty,0.0192,0.8861,58,0.9761,False
pm_gain,rmp_would_take_again,0.0209,0.8842,51,0.9761,False
pm_mastery_final,ccr_star_rating,-0.2275,0.0858,58,0.4226,False
pm_mastery_final,ccr_student_satisfaction,-0.2221,0.0938,58,0.4226,False
pm_mastery_final,ccr_challenge_level,0.2338,0.0774,58,0.4226,False
pm_mastery_final,ccr_time_investment,0.1392,0.2974,58,0.6528,False
pm_mastery_final,ccr_recommendation_rate,0.205,0.1227,58,0.4448,False
pm_mastery_final,ccr_grade_accessibility,-0.0535,0.6901,58,0.938,False
pm_mastery_final,rmp_avg_rating,0.0113,0.9327,58,0.9761,False
pm_mastery_final,rmp_avg_difficulty,0.1396,0.296,58,0.6528,False
pm_mastery_final,rmp_would_take_again,0.2184,0.1236,51,0.4448,False
pm_mastery_slope,ccr_star_rating,0.0724,0.5889,58,0.938,False
pm_mastery_slope,ccr_student_satisfaction,0.0749,0.5762,58,0.938,False
pm_mastery_slope,ccr_challenge_level,-0.222,0.0939,58,0.4226,False
pm_mastery_slope,ccr_time_investment,-0.2469,0.0617,58,0.4226,False
pm_mastery_slope,ccr_recommendation_rate,-0.146,0.274,58,0.6323,False
pm_mastery_slope,ccr_grade_accessibility,-0.0402,0.7645,58,0.9726,False
pm_mastery_slope,rmp_avg_rating,0.1545,0.2468,58,0.6323,False
pm_mastery_slope,rmp_avg_difficulty,-0.2678,0.0421,58,0.4226,False
pm_mastery_slope,rmp_would_take_again,-0.0425,0.7673,51,0.9726,False
pm_clarity_slope,ccr_star_rating,-0.2871,0.0289,58,0.4226,False
pm_clarity_slope,ccr_student_satisfaction,-0.2882,0.0283,58,0.4226,False
pm_clarity_slope,ccr_challenge_level,0.1541,0.2481,58,0.6323,False
pm_clarity_slope,ccr_time_investment,0.2072,0.1187,58,0.4448,False
pm_clarity_slope,ccr_recommendation_rate,-0.1792,0.1783,58,0.5666,False
pm_clarity_slope,ccr_grade_accessibility,-0.3039,0.0204,58,0.4226,False
pm_clarity_slope,rmp_avg_rating,-0.1461,0.274,58,0.6323,False
pm_clarity_slope,rmp_avg_difficulty,-0.0501,0.7087,58,0.938,False
pm_clarity_slope,rmp_would_take_again,-0.0643,0.6539,51,0.938,False
pm_cogload_slope,ccr_star_rating,-0.0869,0.5167,58,0.9276,False
pm_cogload_slope,ccr_student_satisfaction,-0.085,0.5256,58,0.9276,False
pm_cogload_slope,ccr_challenge_level,0.1228,0.3585,58,0.7334,False
pm_cogload_slope,ccr_time_investment,0.1095,0.4133,58,0.8087,False
pm_cogload_slope,ccr_recommendation_rate,0.0655,0.6253,58,0.938,False
pm_cogload_slope,ccr_grade_accessibility,-0.2903,0.0271,58,0.4226,False
pm_cogload_slope,rmp_avg_rating,-0.052,0.6985,58,0.938,False
pm_cogload_slope,rmp_avg_difficulty,0.0079,0.9533,58,0.9773,False
pm_cogload_slope,rmp_would_take_again,-0.0513,0.7207,51,0.9401,False
pm_confusion,ccr_star_rating,-0.0265,0.8437,58,0.9761,False
pm_confusion,ccr_student_satisfaction,-0.0219,0.8705,58,0.9761,False
pm_confusion,ccr_challenge_level,0.0361,0.7881,58,0.9761,False
pm_confusion,ccr_time_investment,-0.0197,0.8836,58,0.9761,False
pm_confusion,ccr_recommendation_rate,-0.0233,0.8624,58,0.9761,False
pm_confusion,ccr_grade_accessibility,0.1646,0.217,58,0.6299,False
pm_confusion,rmp_avg_rating,0.0771,0.5652,58,0.938,False
pm_confusion,rmp_avg_difficulty,-0.0129,0.9237,58,0.9761,False
pm_confusion,rmp_would_take_again,0.1419,0.3207,51,0.6872,False
pm_gain_low,ccr_star_rating,-0.2965,0.0238,58,0.4226,False
pm_gain_low,ccr_student_satisfaction,-0.2902,0.0271,58,0.4226,False
pm_gain_low,ccr_challenge_level,0.2437,0.0652,58,0.4226,False
pm_gain_low,ccr_time_investment,0.2443,0.0646,58,0.4226,False
pm_gain_low,ccr_recommendation_rate,0.0682,0.6111,58,0.938,False
pm_gain_low,ccr_grade_accessibility,-0.0038,0.9773,58,0.9773,False
pm_gain_low,rmp_avg_rating,-0.169,0.2046,58,0.6138,False
pm_gain_low,rmp_avg_difficulty,0.1291,0.3343,58,0.6996,False
pm_gain_low,rmp_would_take_again,-0.019,0.8945,51,0.9761,False
pm_mslope_low,ccr_star_rating,0.0266,0.843,58,0.9761,False
pm_mslope_low,ccr_student_satisfaction,0.0288,0.8302,58,0.9761,False
pm_mslope_low,ccr_challenge_level,-0.2223,0.0935,58,0.4226,False
pm_mslope_low,ccr_time_investment,-0.2332,0.0781,58,0.4226,False
pm_mslope_low,ccr_recommendation_rate,-0.1606,0.2284,58,0.6323,False
pm_mslope_low,ccr_grade_accessibility,-0.0073,0.9568,58,0.9773,False
pm_mslope_low,rmp_avg_rating,0.152,0.2548,58,0.6323,False
pm_mslope_low,rmp_avg_difficulty,-0.2184,0.0995,58,0.4264,False
pm_mslope_low,rmp_would_take_again,-0.0545,0.704,51,0.938,False
pm_gain_high,ccr_star_rating,-0.0555,0.6791,58,0.938,False
pm_gain_high,ccr_student_satisfaction,-0.0572,0.6698,58,0.938,False
pm_gain_high,ccr_challenge_level,0.0129,0.9234,58,0.9761,False
pm_gain_high,ccr_time_investment,0.077,0.5657,58,0.938,False
pm_gain_high,ccr_recommendation_rate,-0.0961,0.4731,58,0.887,False
pm_gain_high,ccr_grade_accessibility,-0.0887,0.5081,58,0.9276,False
pm_gain_high,rmp_avg_rating,-0.1498,0.2616,58,0.6323,False
pm_gain_high,rmp_avg_difficulty,-0.0045,0.9731,58,0.9773,False
pm_gain_high,rmp_would_take_again,-0.0155,0.9139,51,0.9761,False
pm_mslope_high,ccr_star_rating,0.1863,0.1615,58,0.5591,False
pm_mslope_high,ccr_student_satisfaction,0.1813,0.1733,58,0.5666,False
pm_mslope_high,ccr_challenge_level,-0.2499,0.0585,58,0.4226,False
pm_mslope_high,ccr_time_investment,-0.2463,0.0624,58,0.4226,False
pm_mslope_high,ccr_recommendation_rate,-0.0663,0.6208,58,0.938,False
pm_mslope_high,ccr_grade_accessibility,-0.0673,0.6157,58,0.938,False
pm_mslope_high,rmp_avg_rating,0.0262,0.845,58,0.9761,False
pm_mslope_high,rmp_avg_difficulty,-0.2056,0.1216,58,0.4448,False
pm_mslope_high,rmp_would_take_again,-0.0641,0.6548,51,0.938,False
